Graduation Year,Role,Employer,Company's Industry,Role Category 1,Role Category 2,Role Category 3,Role Category 4,Career Webpage,Specify Other Industry,POST,Comments
2025,Swimming Instructor,Pedalheads Bike Camps Inc.,Other,Other,,,,,Recreation,PRE,
2025,Team Member,krave kulture yogurt,Other,Other,,,,,Food/Hospitality,PRE,
2025,Translator,COVER Corporation,Other,Other,,,,,Entertainment/Communications,POST,Started during degree
2025,Translator,Crimson Global Academy,Academia,Other,,,,,Communications,PRE,
2025,"Translator, Live Support",TOUR Organizing Committee,Other,Other,,,,,Tourism/Communications,PRE,
2025,Warehouse Associate,KMS Tools & Equipment,Other,Other,,,,,Retail,PRE,
2025,Warehouse Worker,Pivot Furniture,Other,Other,,,,,Retail,PRE,
2025,"Climate-Focused Reporting Analyst, BMO SME Climate Clinic",UBC Sauder School of Business,Academia,Sustainability/Environment,,,,,,PRE,
2025,ESG Consultant,Zircon Industry Association,Other,Sustainability/Environment,,,,,Mining,POST,
2025,Intern,Circular Impact,Sustainability/Environment,Sustainability/Environment,,,,,,PRE,
2025,Analyst,American Express,Wealth Management,Wealth Management,,,,,,PRE,
2025,Cardholder Care Agent,Vancity,Wealth Management,Wealth Management,,,,,,POST,
2025,Customer Experience Associate,Scotiabank,Wealth Management,Wealth Management,,,,,,PRE,
2025,Customer Service Associate,TD,Wealth Management,Wealth Management,,,,,,POST,Started during degree
2025,Financial Advisor,Scotiabank,Wealth Management,Wealth Management,,,,,,POST,
2025,Intern,iA Financial Group (Industrial Alliance),Wealth Management,Wealth Management,,,,,,PRE,
2025,Investor Relations & Operations Intern,Can Terra Financial Inc.,Finance - Corporate Finance,Wealth Management,,,,,,PRE,
2025,Junior Program Coordinator,Scotiabank,Wealth Management,Wealth Management,,,,,,PRE,
2025,"Strategy and Projects Intern, Canadian Banking",Scotiabank,Wealth Management,Wealth Management,,,,,,PRE,
2025,Team Treasurer/Event Coordinator,Oregon High School Equestrian Teams Inc,Government and NGO's/No-Profit Organizations (NPOs),Wealth Management,,,,,,PRE,
2025,Wealth Management Tax Administrator,Scotiabank,Wealth Management,Wealth Management,,,,,,PRE,
2025,Head Coordinator of Youth Operations,Hellenic Community of Vancouver,Government and NGO's/No-Profit Organizations (NPOs),,,,,,,PRE,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2024,Investment Analyst,New Market Funds,Finance - Asset Management,Finance - Asset Management,,,,,,POST,
2024,Project Designer,flint,Other,Other,,,,,Software development//Graphic design,POST,
2024,Design Lead,CAIAI,,Other,,,,,Graphic design,POST,
2024,Graphic Design Artist,Baha Design,Other,Other,,,,,Graphic design,POST,
2024,Content & Communications Coordinator,Moment Energy,Other,Marketing,,,,,Industrial manufacturing,POST,
2024,Procurement Analyst,"Apollo Global Management, Inc.",Finance - Asset Management,Finance - Sales and Trading,,,,,,POST,
2024,Investment Banking Analyst,RBC,Wealth Management,Finance - Investment Banking,,,,,,POST,
2024,Junior Accountant,Elemental Energy,Other,Finance - Corporate Finance,,,,,,POST,
2024,Workday Student Supporter Staff,UBC Arts Service Center,Other,Other,,,,,IT,POST,
2024,Enrolment Services Coordinator,UBC Enrolment Services,Other,Other,,,,,Academic/IT,POST,
2024,Server,Homer Street Cafe and Bar,Other,Other,,,,,Food,POST,Started during degree
2024,Server,Restaraunt Fiorellino,Other,Other,,,,,Food,POST,
2024,Market Research Specialist,NewtonX,Health/Policy/Research,Other,,,,,Business analytics,POST,
2024,Associate Consultant,Global Public Affairs,Consulting,Consulting,,,,,,POST,
2024,Consultant,Global Public Affairs,Consulting,Consulting,,,,,,POST,
2024,Analyst,Citi ,Wealth Management,Finance - Investment Banking,,,,,,POST,
